Date,Public Holiday AG
2023-01-02 06:00:00,Berchtoldstag
2023-01-02 07:00:00,Berchtoldstag
2023-01-02 08:00:00,Berchtoldstag
2023-01-02 09:00:00,Berchtoldstag
2023-01-02 10:00:00,Berchtoldstag
2023-01-02 11:00:00,Berchtoldstag
2023-01-02 12:00:00,Berchtoldstag
2023-01-02 13:00:00,Berchtoldstag
2023-01-02 14:00:00,Berchtoldstag
2023-01-02 15:00:00,Berchtoldstag
2023-01-02 16:00:00,Berchtoldstag
2023-01-02 17:00:00,Berchtoldstag
2023-01-02 18:00:00,Berchtoldstag
2023-01-02 19:00:00,Berchtoldstag
2023-01-02 20:00:00,Berchtoldstag
2023-01-02 21:00:00,Berchtoldstag
2023-01-02 22:00:00,Berchtoldstag
2023-01-02 23:00:00,Berchtoldstag
2023-04-07 00:00:00,Karfreitag
2023-04-07 01:00:00,Karfreitag
2023-04-07 02:00:00,Karfreitag
2023-04-07 03:00:00,Karfreitag
2023-04-07 04:00:00,Karfreitag
2023-04-07 05:00:00,Karfreitag
2023-04-07 06:00:00,Karfreitag
2023-04-07 07:00:00,Karfreitag
2023-04-07 08:00:00,Karfreitag
2023-04-07 09:00:00,Karfreitag
2023-04-07 10:00:00,Karfreitag
2023-04-07 11:00:00,Karfreitag
2023-04-07 12:00:00,Karfreitag
2023-04-07 13:00:00,Karfreitag
2023-04-07 14:00:00,Karfreitag
2023-04-07 15:00:00,Karfreitag
2023-04-07 16:00:00,Karfreitag
2023-04-07 17:00:00,Karfreitag
2023-04-07 18:00:00,Karfreitag
2023-04-07 19:00:00,Karfreitag
2023-04-07 20:00:00,Karfreitag
2023-04-07 21:00:00,Karfreitag
2023-04-07 22:00:00,Karfreitag
2023-04-07 23:00:00,Karfreitag
2023-04-10 00:00:00,Ostermontag
2023-04-10 01:00:00,Ostermontag
2023-04-10 02:00:00,Ostermontag
2023-04-10 03:00:00,Ostermontag
2023-04-10 04:00:00,Ostermontag
2023-04-10 05:00:00,Ostermontag
2023-04-10 06:00:00,Ostermontag
