,Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
507500,2021-10-06 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,17.8,bereinigt
507522,2021-10-06 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507544,2021-10-06 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507566,2021-10-06 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507588,2021-10-06 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507610,2021-10-06 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507632,2021-10-06 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
507654,2021-10-07 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507676,2021-10-07 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507698,2021-10-07 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507720,2021-10-07 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507742,2021-10-07 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507764,2021-10-07 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
507786,2021-10-07 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,2.11,bereinigt
507808,2021-10-07 07:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,16.42,bereinigt
507830,2021-10-07 08:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,72.44,bereinigt
507852,2021-10-07 09:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,252.19,bereinigt
507874,2021-10-07 10:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,226.43,bereinigt
